id;X;Y;Z;dist1;dist2;dist3
0;-0.15476;0;7.974484;17.89;13.78;26.06
1;-0.15476;0;7.721014;17.84;13.71;26.06
2;-0.15476;0;7.467544;17.8;13.65;26.06
3;-0.15476;0;7.214073;17.75;13.6;26.06
4;-0.15476;0;6.960603;17.71;13.54;26.06
5;-0.15476;0;6.707133;17.68;13.5;26.06
6;-0.15476;0;6.453663;17.64;13.45;26.06
7;-0.15476;0;6.200193;17.61;13.41;26.06
8;-0.15476;0;5.946722;17.59;13.38;26.06
9;-0.15476;0;5.693252;17.56;13.35;26.06
10;-0.15476;0;5.439782;17.55;13.33;26.06
11;-0.15476;0;5.186312;17.53;13.31;26.06
12;-0.15476;0;4.932842;17.52;13.29;26.06
13;-0.15476;0;4.679371;17.51;13.28;26.06
14;-0.15476;0;4.425901;17.51;13.28;26.06
15;-0.15476;0;4.172431;17.51;13.27;26.06
16;-0.15476;0;3.918961;17.51;13.28;26.06
17;-0.15476;0;3.66549;17.52;13.29;26.06
18;-0.15476;0;3.41202;17.53;13.3;26.06
19;-0.15476;0;3.15855;17.54;13.32;26.06
20;-0.15476;0;2.90508;17.56;13.34;26.06
21;-0.15476;0;2.65161;17.58;13.37;26.06
22;-0.15476;0;2.398139;17.6;13.4;26.06
23;-0.15476;0;2.144669;17.63;13.44;26.06
24;-0.15476;0;1.891199;17.66;13.48;26.06
25;-0.15476;0;1.637729;17.7;13.53;26.06
26;-0.15476;0;1.384259;17.74;13.58;26.06
27;-0.15476;0;1.130788;17.78;13.63;26.06
28;-0.15476;0;0.877318;17.82;13.69;26.06
29;-0.15476;0;0.623848;17.87;13.75;26.06
30;-0.15476;0;0.370378;17.93;13.82;26.06
31;0.094607;0;7.974484;17.65;13.54;25.81
32;0.094607;0;7.721014;17.6;13.47;25.81
33;0.094607;0;7.467544;17.55;13.41;25.81
34;0.094607;0;7.214073;17.51;13.35;25.81
35;0.094607;0;6.960603;17.47;13.3;25.81
36;0.094607;0;6.707133;17.43;13.25;25.81
37;0.094607;0;6.453663;17.39;13.21;25.81
38;0.094607;0;6.200193;17.36;13.17;25.81
39;0.094607;0;5.946722;17.34;13.13;25.81
40;0.094607;0;5.693252;17.32;13.1;25.81
41;0.094607;0;5.439782;17.3;13.08;25.81
42;0.094607;0;5.186312;17.28;13.06;25.81
43;0.094607;0;4.932842;17.27;13.04;25.81
44;0.094607;0;4.679371;17.26;13.03;25.81
45;0.094607;0;4.425901;17.26;13.03;25.81
46;0.094607;0;4.172431;17.26;13.03;25.81
47;0.094607;0;3.918961;17.26;13.03;25.81
48;0.094607;0;3.66549;17.27;13.04;25.81
49;0.094607;0;3.41202;17.28;13.05;25.81
50;0.094607;0;3.15855;17.29;13.07;25.81
51;0.094607;0;2.90508;17.31;13.09;25.81
52;0.094607;0;2.65161;17.33;13.12;25.81
53;0.094607;0;2.398139;17.36;13.15;25.81
54;0.094607;0;2.144669;17.38;13.19;25.81
55;0.094607;0;1.891199;17.42;13.23;25.81
56;0.094607;0;1.637729;17.45;13.28;25.81
57;0.094607;0;1.384259;17.49;13.33;25.81
58;0.094607;0;1.130788;17.53;13.39;25.81
59;0.094607;0;0.877318;17.58;13.45;25.81
