id;X;Y;Z;dist1;dist2;dist3
0;-0.15;0;7.97;17.89;13.78;17.89
1;-0.15;0;7.72;17.84;13.71;17.84
2;-0.15;0;7.47;17.8;13.65;17.8
3;-0.15;0;7.21;17.75;13.6;17.75
4;-0.15;0;6.96;17.71;13.54;17.71
5;-0.15;0;6.71;17.68;13.5;17.68
6;-0.15;0;6.45;17.64;13.45;17.64
7;-0.15;0;6.2;17.61;13.41;17.61
8;-0.15;0;5.95;17.59;13.38;17.59
9;-0.15;0;5.69;17.56;13.35;17.56
10;-0.15;0;5.44;17.55;13.33;17.55
11;-0.15;0;5.19;17.53;13.31;17.53
12;-0.15;0;4.93;17.52;13.29;17.52
13;-0.15;0;4.68;17.51;13.28;17.51
14;-0.15;0;4.43;17.51;13.28;17.51
15;-0.15;0;4.17;17.51;13.27;17.51
16;-0.15;0;3.92;17.51;13.28;17.51
17;-0.15;0;3.67;17.52;13.29;17.52
18;-0.15;0;3.41;17.53;13.3;17.53
19;-0.15;0;3.16;17.54;13.32;17.54
20;-0.15;0;2.91;17.56;13.34;17.56
21;-0.15;0;2.65;17.58;13.37;17.58
22;-0.15;0;2.4;17.6;13.4;17.6
23;-0.15;0;2.14;17.63;13.44;17.63
24;-0.15;0;1.89;17.66;13.48;17.66
25;-0.15;0;1.64;17.7;13.53;17.7
26;-0.15;0;1.38;17.74;13.58;17.74
27;-0.15;0;1.13;17.78;13.63;17.78
28;-0.15;0;0.88;17.82;13.69;17.82
29;-0.15;0;0.62;17.87;13.75;17.87
30;-0.15;0;0.37;17.93;13.82;17.93
31;0.09;0;7.97;17.65;13.54;17.65
32;0.09;0;7.72;17.6;13.47;17.6
33;0.09;0;7.47;17.55;13.41;17.55
34;0.09;0;7.21;17.51;13.35;17.51
35;0.09;0;6.96;17.47;13.3;17.47
36;0.09;0;6.71;17.43;13.25;17.43
37;0.09;0;6.45;17.39;13.21;17.39
38;0.09;0;6.2;17.36;13.17;17.36
39;0.09;0;5.95;17.34;13.13;17.34
40;0.09;0;5.69;17.32;13.1;17.32
41;0.09;0;5.44;17.3;13.08;17.3
42;0.09;0;5.19;17.28;13.06;17.28
43;0.09;0;4.93;17.27;13.04;17.27
44;0.09;0;4.68;17.26;13.03;17.26
45;0.09;0;4.43;17.26;13.03;17.26
46;0.09;0;4.17;17.26;13.03;17.26
47;0.09;0;3.92;17.26;13.03;17.26
48;0.09;0;3.67;17.27;13.04;17.27
49;0.09;0;3.41;17.28;13.05;17.28
50;0.09;0;3.16;17.29;13.07;17.29
51;0.09;0;2.91;17.31;13.09;17.31
52;0.09;0;2.65;17.33;13.12;17.33
53;0.09;0;2.4;17.36;13.15;17.36
54;0.09;0;2.14;17.38;13.19;17.38
55;0.09;0;1.89;17.42;13.23;17.42
56;0.09;0;1.64;17.45;13.28;17.45
57;0.09;0;1.38;17.49;13.33;17.49
58;0.09;0;1.13;17.53;13.39;17.53
59;0.09;0;0.88;17.58;13.45;17.58
60;0.09;0;0.62;17.63;13.51;17.63
61;0.09;0;0.37;17.68;13.58;17.68
62;0.34;0;7.97;17.4;13.3;17.4
63;0.34;0;7.72;17.35;13.23;17.35
64;0.34;0;7.47;17.3;13.17;17.3
65;0.34;0;7.21;17.26;13.11;17.26
66;0.34;0;6.96;17.22;13.05;17.22
67;0.34;0;6.71;17.18;13.01;17.18
68;0.34;0;6.45;17.15;12.96;17.15
69;0.34;0;6.2;17.12;12.92;17.12
70;0.34;0;5.95;17.09;12.89;17.09
71;0.34;0;5.69;17.07;12.86;17.07
72;0.34;0;5.44;17.05;12.83;17.05
73;0.34;0;5.19;17.03;12.81;17.03
74;0.34;0;4.93;17.02;12.79;17.02
75;0.34;0;4.68;17.01;12.78;17.01
76;0.34;0;4.43;17.01;12.78;17.01
77;0.34;0;4.17;17.01;12.78;17.01
78;0.34;0;3.92;17.01;12.78;17.01
79;0.34;0;3.67;17.02;12.79;17.02
80;0.34;0;3.41;17.03;12.8;17.03
81;0.34;0;3.16;17.04;12.82;17.04
82;0.34;0;2.91;17.06;12.85;17.06
83;0.34;0;2.65;17.08;12.87;17.08
84;0.34;0;2.4;17.11;12.91;17.11
85;0.34;0;2.14;17.14;12.95;17.14
86;0.34;0;1.89;17.17;12.99;17.17
87;0.34;0;1.64;17.21;13.04;17.21
88;0.34;0;1.38;17.24;13.09;17.24
89;0.34;0;1.13;17.29;13.15;17.29
90;0.34;0;0.88;17.34;13.21;17.34
91;0.34;0;0.62;17.39;13.27;17.39
92;0.34;0;0.37;17.44;13.34;17.44
93;0.59;0;7.97;17.16;13.06;17.16
94;0.59;0;7.72;17.11;12.99;17.11
95;0.59;0;7.47;17.06;12.92;17.06
96;0.59;0;7.21;17.01;12.87;17.01
97;0.59;0;6.96;16.97;12.81;16.97
98;0.59;0;6.71;16.93;12.76;16.93
99;0.59;0;6.45;16.9;12.71;16.9
100;0.59;0;6.2;16.87;12.67;16.87
101;0.59;0;5.95;16.84;12.64;16.84
102;0.59;0;5.69;16.82;12.61;16.82
103;0.59;0;5.44;16.8;12.58;16.8
104;0.59;0;5.19;16.78;12.56;16.78
105;0.59;0;4.93;16.77;12.54;16.77
106;0.59;0;4.68;16.76;12.53;16.76
107;0.59;0;4.43;16.76;12.53;16.76
108;0.59;0;4.17;16.76;12.53;16.76
109;0.59;0;3.92;16.76;12.53;16.76
110;0.59;0;3.67;16.77;12.54;16.77
111;0.59;0;3.41;16.78;12.55;16.78
112;0.59;0;3.16;16.79;12.57;16.79
113;0.59;0;2.91;16.81;12.6;16.81
