id;X;Y;Z;dist1;dist2;dist3
0;22.478135;1.154963;1.441316;3.77;7.25;3.62
1;22.477473;1.771558;1.37255;3.86;7.3;3.86
2;22.47149;2.476876;1.23982;4.11;7.43;4.23
3;21.845823;0.852467;1.586962;3.24;6.61;4.15
4;21.866343;1.472911;1.481474;3.34;6.67;4.3
5;21.835167;2.070639;1.3623;3.52;6.75;4.57
6;21.231636;1.16301;1.760813;2.73;5.97;4.82
7;21.212987;1.762034;1.549107;2.96;6.07;5.01
8;21.156851;2.467493;1.329346;3.32;6.22;5.35
9;20.572216;0.861237;2.094126;2.13;5.24;5.4
10;20.54954;1.465772;1.817164;2.39;5.34;5.55
11;20.531147;2.080255;1.518504;2.79;5.52;5.76
12;19.899344;1.150466;2.124369;1.92;4.61;6.11
13;19.854909;1.773704;1.753329;2.35;4.78;6.3
14;19.820714;2.476066;1.433225;2.89;5.05;6.57
15;19.163497;0.76208;2.280436;1.74;3.89;6.78
16;19.173719;1.474667;1.922172;2.12;4.09;6.89
17;19.159877;2.09756;1.571637;2.61;4.36;7.06
18;18.465731;1.151051;2.042032;1.98;3.43;7.53
19;18.485518;1.745978;1.755812;2.33;3.67;7.62
20;18.503658;2.467075;1.478954;2.84;4.03;7.8
21;17.813364;0.850832;1.998698;2.03;2.97;8.14
22;17.831288;1.472275;1.835429;2.21;3.11;8.21
23;17.820158;2.070408;1.608109;2.57;3.37;8.34
24;17.149208;1.154715;1.853821;2.21;2.65;8.83
25;17.163655;1.776673;1.701678;2.43;2.85;8.92
26;17.170515;2.472112;1.505207;2.85;3.22;9.08
27;16.513262;0.854581;1.8574;2.39;2.35;9.43
28;16.506032;1.46297;1.76121;2.5;2.45;9.51
29;16.51168;2.066626;1.611485;2.76;2.72;9.62
30;15.84467;1.159779;1.833407;2.75;2.21;10.13
31;15.85921;1.771912;1.720763;2.89;2.39;10.2
32;15.854647;2.486449;1.551976;3.24;2.8;10.35
33;15.192268;0.859179;1.92371;3.11;2.1;10.75
34;15.20229;1.465845;1.845085;3.17;2.2;10.8
35;15.209481;2.076606;1.662344;3.4;2.52;10.89
36;14.562981;1.168777;2.022771;3.52;2;11.4
37;14.568045;1.767777;1.836373;3.68;2.26;11.47
38;14.553412;2.47963;1.635462;3.98;2.71;11.62
39;13.944102;0.853327;2.353358;3.87;1.67;11.99
40;13.931837;1.474016;2.097437;4.02;1.95;12.06
41;13.906077;2.065446;1.807886;4.27;2.38;12.17
42;13.276489;1.163821;2.465194;4.43;1.56;12.68
43;13.258987;1.768921;2.071476;4.65;2.04;12.77
44;13.212808;2.470414;1.739354;4.98;2.62;12.93
45;12.543655;0.862801;2.7105;5.04;1.51;13.39
46;12.550566;1.4687;2.34148;5.16;1.86;13.43
47;12.568535;2.080283;1.940226;5.36;2.38;13.5
48;11.834692;1.155284;2.531178;5.77;2.06;14.12
49;11.873517;1.77317;2.133953;5.89;2.42;14.14
50;11.903151;2.478966;1.805951;6.09;2.91;14.22
51;11.178862;0.859066;2.478857;6.41;2.57;14.75
52;11.190059;1.471764;2.22621;6.48;2.75;14.79
53;11.194756;2.069347;1.935023;6.62;3.06;14.85
54;10.52549;1.156947;2.204903;7.12;3.26;15.42
55;10.523491;1.767925;2.021518;7.2;3.42;15.48
56;10.55376;2.467302;1.816834;7.32;3.7;15.55
57;9.910982;0.860175;2.112524;7.73;3.82;16.02
58;9.886578;1.468958;2.031314;7.78;3.89;16.08
59;9.880083;2.07915;1.904427;7.87;4.06;16.16
60;22.581344;0.861106;6.679938;3.59;7.21;3.43
61;22.597992;1.466321;6.733157;3.65;7.25;3.62
62;22.581152;2.068633;6.828192;3.79;7.31;3.91
63;21.944394;1.167612;6.575953;3.05;6.57;4.13
64;21.93552;1.7718;6.70077;3.18;6.63;4.35
65;21.89757;2.471113;6.862542;3.47;6.75;4.71
66;21.332342;0.852629;6.320431;2.45;5.91;4.65
67;21.318534;1.465151;6.500609;2.59;5.97;4.81
