X;Y;Z
7.815451;0.427706;2.779966
7.814191;0.506516;2.77649
12.842597;0.428705;1.056438
12.842597;1.25573;0.467437
12.842597;0.843915;0.83642
12.842597;0.205394;0.443569
12.842597;0.092716;0.546328
12.842597;0.291438;0.715827
12.842597;0.114792;0.622607
12.842597;0.088985;1.375799
12.842597;1.101859;0.49752
12.842597;0.158494;0.82436
12.842597;0.405953;0.470749
12.842597;0.456462;0.71874
12.842597;0.44966;0.675506
12.842597;0.205635;0.658724
12.842597;0.678246;1.045993
12.842597;1.444811;0.409276
12.842597;1.084882;0.596993
12.842597;0.915828;0.602304
12.842597;0.91837;0.403466
12.842597;0.095448;1.033429
12.842597;0.122387;1.043804
12.842597;0.699453;0.681659
12.842597;0.439867;1.045746
12.842597;0.001855;0.984921
12.842597;0.113869;1.416511
12.842597;0.974839;0.791351
12.842597;0.356487;0.938323
12.842597;0.094354;1.437457
12.842597;0.206689;1.139491
12.842597;1.284685;0.492842
12.842597;0.324689;0.725497
12.842597;0.587298;1.065876
12.842597;0.199461;1.14701
12.842597;0.362343;1.06701
12.842597;0.208816;0.422684
12.842597;0.808179;0.571424
12.842597;0.203869;0.576091
12.842597;0.852319;0.793246
12.842597;0.330386;0.838485
12.842597;0.218803;0.756191
12.842597;0.72323;0.586059
12.842597;0.873231;0.457864
12.842597;0.561423;1.101505
12.842597;0.426954;1.243537
12.842597;0.282027;0.80186
12.842597;0.143171;1.042005
12.842597;0.680264;1.034105
12.842597;0.288093;0.669521
12.842597;0.390275;0.682614
12.842597;0.264165;0.798196
12.842597;0.61478;0.870347
12.842597;0.572086;1.02503
12.842597;0.642797;0.714822
12.842597;0.157463;0.887679
12.842597;0.222963;0.411709
12.842597;0.238931;1.069063
12.842597;0.583203;0.679561
12.842597;0.60069;0.931935
12.842597;1.445063;0.457334
12.842597;0.909599;0.768897
12.842597;0.788859;0.68342
12.842597;0.584493;0.406447
12.842597;1.145955;0.498304
12.842597;1.177702;0.49173
12.842597;0.74238;0.857756
12.842597;0.2238;0.555849
12.842597;0.365746;0.847443
12.842597;0.233124;0.996815
12.842597;0.008623;0.785462
12.842597;0.32798;1.262524
12.842597;0.216246;1.172414
12.842597;0.213363;0.637246
12.842597;0.486697;0.44406
12.842597;0.029233;0.581888
12.842597;0.573599;0.730083
12.842597;0.764256;0.694515
12.842597;1.418831;0.388365
12.842597;0.040631;0.786626
12.842597;0.888813;0.613531
12.842597;0.55105;0.854463
12.842597;0.700302;0.739162
12.842597;0.003154;0.403156
12.842597;0.037029;1.390797
12.842597;0.761031;0.992413
12.842597;0.734287;0.952767
12.842597;0.23015;1.074613
12.842597;0.336055;0.761008
12.842597;0.075567;0.692563
12.842597;0.15858;0.586649
12.842597;0.128859;0.730986
12.842597;0.283441;0.673216
12.842597;1.207362;0.430284
12.842597;0.571256;0.670695
12.842597;1.233124;0.44013
12.842597;0.6236;0.516064
12.842597;0.366363;1.02425
12.842597;0.021285;1.517823
12.842597;0.784324;0.506942
12.842597;0.309117;1.153911
12.842597;0.579885;0.594565
12.842597;0.194637;1.407841
12.842597;0.528566;0.477761
12.842597;0.792983;0.705377
12.842597;0.046144;0.805546
12.842597;0.199054;0.628484
12.842597;0.404696;0.429959
12.842597;0.233499;1.378525
12.842597;1.444853;0.432144
12.842597;0.045786;1.331059
12.842597;0.601218;0.67616
12.842597;0.525989;0.773165
12.842597;0.926635;0.816483
12.842597;0.444604;0.785748
12.842597;0.403542;1.056043
12.842597;0.041253;0.876599
12.842597;1.38253;0.446401
12.842597;0.157234;1.02109
12.842597;0.774198;0.740415
12.842597;0.130878;0.710833
12.842597;0.476264;0.718394
12.842597;0.652144;0.581944
12.842597;0.043206;0.665461
12.842597;0.348903;0.667469
12.842597;0.587234;1.121416
12.842597;0.165756;0.892407
12.842597;0.650456;0.624357
12.842597;0.705456;1.027133
12.842597;0.328202;0.680333
12.842597;0.956102;0.384913
12.842597;0.453556;1.068676
12.842597;0.064114;1.354236
12.842597;0.552001;0.474229
12.842597;0.865312;0.533423
12.842597;0.623396;0.479989
12.842597;0.802709;0.799683
12.842597;0.090021;0.777841
12.842597;0.198665;1.398051
12.842597;1.221116;0.548702
12.842597;1.074435;0.58457
12.842597;1.26321;0.393188
12.842597;0.378881;0.407085
12.842597;0.109691;0.890053
12.842597;0.219306;0.537053
12.842597;0.620712;0.971072
12.842597;1.311251;0.518811
12.842597;0.28099;0.520712
12.842597;0.540921;0.956202
12.842597;0.846571;0.599423
12.842597;0.087869;0.961077
12.842597;1.274495;0.486804
12.842597;0.094079;1.382866
12.842597;0.809935;0.922287
12.842597;0.81484;0.720331
12.842597;0.388051;0.657361
12.842597;0.339798;0.461528
12.842597;0.361028;0.676996
12.842597;0.303889;0.784334
12.842597;0.962021;0.46989
12.842597;1.211007;0.479036
12.842597;0.890015;0.687554
12.842597;0.131271;0.867474
12.842597;0.510802;0.559922
12.842597;0.073229;0.611769
12.842597;0.060388;0.695984
12.842597;0.808474;0.883238
12.842597;0.20175;1.240795
12.842597;0.489688;1.089336
12.842597;0.366951;0.878816
12.842597;1.220704;0.519776
12.842597;0.030912;1.156996
12.842597;0.807297;0.813169
12.842597;1.042054;0.618003
12.842597;0.423422;0.41143
12.842597;0.76369;0.847071
12.842597;0.320812;1.045594
12.842597;0.083849;1.282798
12.842597;0.05393;1.121094
12.842597;0.009267;0.91466
12.842597;0.87688;0.902806
12.842597;0.031223;1.21281
12.842597;0.237847;1.337059
12.842597;0.06492;0.522343
12.842597;0.643833;0.619688
12.842597;0.25223;1.264175
12.842597;0.456621;0.902562
12.842597;0.145586;1.089077
12.842597;1.305017;0.461725
12.842597;0.541856;1.119977
12.842597;0.250509;0.835122
12.842597;0.316891;1.036242
12.842597;1.13347;0.514389
12.842597;0.145019;1.182979
12.842597;0.177806;1.054105
12.842597;0.292279;0.558047
12.842597;0.136985;1.219605
12.842597;1.214318;0.387555
12.842597;0.120472;0.65736
12.842597;0.794613;0.402431
12.842597;0.250655;0.771534
12.842597;0.702832;0.629879
12.842597;0.83684;0.447764
12.842597;0.271115;1.294138
12.842597;0.226102;0.522202
12.842597;1.003078;0.736945
12.842597;0.000909;1.531166
12.842597;0.446955;1.109631
12.842597;0.31714;1.060197
12.842597;0.688409;1.042534
12.842597;0.2228;1.173033
12.842597;0.068034;1.217274
12.842597;0.658344;0.475276
12.842597;0.020652;0.975204
12.842597;0.793495;0.825602
12.842597;0.611161;0.467336
12.842597;0.612943;0.891637
12.842597;0.305119;0.535674
12.842597;0.011305;1.026482
12.842597;0.44914;0.425468
12.842597;0.02522;1.372152
12.842597;0.143735;1.292866
12.842597;1.050611;0.611053
12.842597;1.029726;0.728139
12.842597;0.77747;0.59441
12.842597;0.011907;0.742077
12.842597;0.212435;0.796106
12.842597;1.043284;0.732341
12.842597;0.728179;0.674088
12.842597;0.364456;1.248837
12.842597;0.94198;0.472344
12.842597;0.693484;0.728086
12.842597;1.018002;0.575672
12.842597;0.524429;0.960796
12.842597;0.368851;0.832051
12.842597;0.151438;0.565968
12.842597;0.092663;1.233558
12.842597;0.017171;1.206068
12.842597;0.448653;1.004434
