X;Y;Z
13.13;2.1;1.8
12.59;0.54;2.81
9.91;0.48;2.1
15.4;1.88;6.58
15.19;1.1;1.8
14.68;1.3;6.42
19.94;1.65;6.52
18.11;0.55;6.21
15.29;2.07;6.73
9.97;1.35;6.44
21.53;1.52;6.65
9.95;0.93;6.2
15.96;1.24;6.45
21.41;0.74;6.39
10.79;0.35;6
16.53;1.85;1.68
20.64;1.06;6.28
15.21;0.75;1.85
10.59;1;2.15
16.87;0.23;6.52
19.95;1.87;6.48
13.96;1.97;1.93
10.61;1.68;1.91
10.45;2.65;1.73
18.5;2.24;1.55
9.94;1.92;1.93
15.32;2.32;6.61
17.8;1.38;1.72
9.97;1.39;6.41
18.45;0.87;2.06
20.64;2.31;1.35
22.69;1.13;1.38
17.88;0.95;6.33
21.22;1.07;1.81
16.51;1.69;1.57
10.48;2.09;1.85
22.11;0.28;6.59
22.64;0.68;1.37
17.21;0.54;6.35
21.51;2.56;6.93
10.78;1.96;6.46
20.89;1.43;6.63
9.83;0.32;2.12
15.87;2.23;1.47
12.51;2.29;1.76
17.58;2.85;6.84
19.28;2.19;6.77
17.18;2.72;6.89
14.65;1.31;6.42
13.04;1.43;2.18
13.37;1.38;6.16
15.3;1.65;6.61
11.83;0.76;2.67
16.04;0.88;1.73
13.32;0.77;5.81
19.85;2.33;1.34
18.52;2.32;1.56
12.65;1.41;6.04
9.86;0.59;2.05
11.4;2.07;1.78
13.91;1.74;1.82
20.6;0.81;6.1
22.54;0.51;1.44
18.45;0.88;2.09
10.45;0.99;2.11
10.57;1.66;2
13.18;2.85;6.74
15.36;1.62;6.61
14.48;2.95;1.52
17.11;1.58;1.74
13.9;1.98;1.71
15.92;1.21;6.57
19.97;0.5;5.89
21.4;0.53;6.36
17.89;1.4;6.48
10.61;1.36;6.13
10.4;1.53;2.01
14.62;0.73;6.23
11.75;1.36;2.31
10.04;1.02;2.07
12.56;0.47;2.8
21.84;1.19;1.5
13.36;0.45;5.62
14.07;1.55;6.28
17.26;0.73;6.41
22.42;2.81;1.16
11.96;1.16;5.95
15.26;1.61;6.48
15.13;2.51;1.47
15.29;2.33;6.78
9.98;0.96;6.21
15.12;1.67;6.53
11.94;1.75;6.34
10.33;0.47;2.08
18.57;1.36;6.41
18.48;1.65;1.66
15.94;1.76;6.68
22.39;1.16;6.72
15.94;1.68;6.65
22.55;1.29;6.68
15.84;0.97;1.91
10.6;1.7;6.46
11.21;0.61;2.47
15.34;1.07;6.48
15.32;2.28;6.64
17.93;2.37;6.85
11.32;2.34;6.63
15.22;0.58;2.02
16.5;1.74;1.59
11.16;1.04;2.27
17.9;1.03;6.36
15.93;0.77;6.25
20;0.58;5.95
10.53;0.65;6.01
19.87;1.38;1.87
22.59;0.54;6.64
21.21;2.4;1.21
17.78;1.95;1.5
17.72;1.98;1.53
13.14;2.32;1.65
19.93;0.88;2.14
15.94;1.31;6.39
12.48;1.35;2.29
13.94;1.88;1.75
21.2;1.69;1.44
13.35;0.96;5.9
14.58;1.99;6.65
15.29;2.1;6.73
19.16;1.09;6.21
16.5;1.74;1.61
13.34;1.1;5.98
16.01;2.28;6.74
22.58;1.67;6.89
19.88;1.68;1.65
14.61;0.78;6.25
13.35;0.52;5.66
13.94;1.07;2.14
11.83;0.78;5.61
22.56;1.91;6.93
12.58;1.15;2.48
15.26;0.75;6.35
11.75;2.03;6.51
11.17;1.08;2.26
17.67;0.28;2.02
19.17;1.16;1.96
17.77;0.6;2.08
13.33;1.67;6.33
15.19;0.54;1.92
18.56;0.65;6.1
17.49;2.66;6.82
15.82;2.19;6.73
13.89;0.97;5.96
22.31;1.95;1.28
19.7;0.97;6.12
20.6;2.18;6.83
17.28;0.93;1.86
11.79;0.97;2.47
17.25;1.88;6.72
15.92;1.79;6.68
20.55;1.99;1.41
17.25;1.63;6.64
12.62;0.87;5.67
19.17;1.68;6.54
14.62;1.89;6.61
16.35;2.39;6.77
17.79;0.75;2.13
21.79;1.35;1.46
17.39;2.8;6.87
17.25;0.5;6.33
20.54;1.36;1.88
18.58;0.6;5.97
16.11;2.29;1.5
22.58;0.47;6.72
21.23;1.99;6.72
21.31;2.58;1.24
11.97;1.36;5.95
15.54;1.33;6.63
9.88;1.15;1.95
22.59;1.95;6.72
20.66;1.03;6.27
21.33;1.11;6.51
13.37;0.48;5.64
22.58;1.22;6.83
19.31;2.76;6.87
15.28;0.99;6.44
10.68;2.74;6.64
13.32;1.63;1.99
19.3;1.67;6.52
10.36;0.54;6.31
11.86;1.61;2.07
15.12;2.57;6.82
21.87;1.99;1.24
22.38;0.27;1.47
15.84;2.25;1.56
10.49;1.62;2.12
15.95;1.98;6.73
11.16;0.62;2.45
